id,domain,failure,gt,pred,match,conf,is_fresh
L3-006,automotive,autonomy_handover,ai_provider,ai_provider,False,medium,False
L3-007,automotive,specification_oversight,deployer,deployer,False,high,False
L4-001,criminal_justice,perception_sensor_failure,deployer,deployer,False,high,False
L4-008,criminal_justice,pipeline_data_quality,deployer,deployer,False,medium,False
L5-001,consumer_retail,bias_discrimination,deployer,deployer,False,high,False
L5-002,legal_services,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-004,financial_services,deceptive_marketing,deployer,deployer,False,high,False
L5-005,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-006,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-007,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L7-001,media,hallucination_fabrication,human_operator,deployer,False,high,False
L7-003,consumer_retail,hallucination_fabrication,deployer,deployer,False,high,False
L7-008,legal_services,intellectual_property,ai_provider,ai_provider,False,medium,False
L8-001,criminal_justice,bias_discrimination,deployer,deployer,False,high,False
L8-002,government,privacy_consent,deployer,deployer,False,high,False
L8-004,government,algorithmic_government_action,deployer,deployer,False,high,False
L1-102,media,specification_failure,deployer,deployer,False,high,False
L1-104,other,specification_failure,ai_provider,ai_provider,False,high,False
L1-106,consumer_retail,specification_failure,deployer,deployer,False,high,False
L1-107,other,specification_failure,ai_provider,ai_provider,False,high,False
L1-109,other,specification_failure,ai_provider,ai_provider,False,high,False
L1-110,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,False
L2-102,hr_employment,bias_discrimination,deployer,deployer,False,high,False
L2-103,consumer_retail,bias_discrimination,deployer,deployer,False,high,False
L2-106,consumer_retail,bias_discrimination,ai_provider,ai_provider,False,high,False
L2-107,hr_employment,bias_discrimination,ai_provider,ai_provider,False,high,False
L2-113,government,bias_discrimination,deployer,deployer,False,high,False
L2-116,criminal_justice,bias_discrimination,human_operator,deployer,False,high,False
L2-117,government,bias_discrimination,deployer,deployer,False,high,False
L2-118,hr_employment,oversight_failure,deployer,deployer,False,high,False
L2-122,consumer_retail,bias_discrimination,deployer,deployer,False,high,False
L4-101,criminal_justice,perception_failure,deployer,deployer,False,high,False
L4-103,criminal_justice,perception_failure,deployer,deployer,False,high,False
L4-104,criminal_justice,perception_failure,deployer,deployer,False,high,False
L4-106,criminal_justice,perception_failure,deployer,deployer,False,high,False
L4-110,automotive,perception_failure,deployer,deployer,False,high,False
L4-114,government,perception_failure,ai_provider,ai_provider,False,high,False
L4-120,consumer_retail,perception_failure,deployer,deployer,False,high,False
L5-104,healthcare,sensor_distribution_drift,deployer,deployer,False,high,False
L5-105,healthcare,sensor_distribution_drift,deployer,deployer,False,high,False
L5-110,aviation,sensor_distribution_drift,ai_provider,ai_provider,False,high,False
L6-103,other,adversarial_exploit,ai_provider,ai_provider,False,high,False
L6-104,consumer_retail,adversarial_exploit,deployer,deployer,False,high,False
L6-108,consumer_retail,adversarial_exploit,ai_provider,ai_provider,False,high,False
L6-109,other,adversarial_exploit,ai_provider,ai_provider,False,high,False
L7-102,financial_services,pipeline_integration,deployer,deployer,False,high,False
L7-104,financial_services,pipeline_integration,deployer,deployer,False,high,False
L7-106,financial_services,pipeline_integration,deployer,deployer,False,high,False
L7-109,financial_services,pipeline_integration,deployer,deployer,False,high,False
L7-110,healthcare,pipeline_integration,ai_provider,ai_provider,False,high,False
L2-901,financial_services,bias_discrimination,ai_provider,deployer,False,low,False
L2-902,consumer_retail,bias_discrimination,deployer,deployer,False,low,False
L2-903,healthcare,bias_discrimination,ai_provider,deployer,False,medium,False
L2-904,education,bias_discrimination,ai_provider,ai_provider,False,medium,False
L2-905,consumer_retail,bias_discrimination,ai_provider,ai_provider,False,low,False
L2-906,hr_employment,bias_discrimination,deployer,deployer,False,medium,False
L2-907,media,bias_discrimination,deployer,deployer,False,high,False
L2-908,media,bias_discrimination,ai_provider,ai_provider,False,low,False
L2-909,other,bias_discrimination,data_provider,deployer,False,low,False
L2-910,healthcare,bias_discrimination,deployer,deployer,False,high,False
L2-911,healthcare,bias_discrimination,deployer,deployer,False,high,False
L6-901,hr_employment,privacy_consent,deployer,ai_provider,False,high,False
L6-902,other,privacy_consent,ai_provider,ai_provider,False,high,False
L6-903,media,privacy_consent,ai_provider,ai_provider,False,high,False
L6-904,other,privacy_consent,ai_provider,ai_provider,False,high,False
L6-905,media,privacy_consent,ai_provider,ai_provider,False,high,False
L6-906,media,privacy_consent,deployer,ai_provider,False,high,False
L6-907,consumer_retail,privacy_consent,deployer,deployer,False,high,False
L6-908,education,privacy_consent,deployer,deployer,False,high,False
L5-901,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-902,media,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-903,consumer_retail,deceptive_marketing,deployer,ai_provider,False,high,False
L5-904,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L5-905,consumer_retail,deceptive_marketing,ai_provider,ai_provider,False,high,False
L1-901,media,specification_failure,ai_provider,ai_provider,False,low,False
L1-902,consumer_retail,specification_failure,deployer,deployer,False,low,False
L1-903,education,specification_failure,deployer,deployer,False,low,False
L4-901,other,pipeline_integration,deployer,ai_provider,False,high,False
L4-902,financial_services,pipeline_integration,deployer,deployer,False,high,False
L4-903,consumer_retail,pipeline_integration,deployer,deployer,False,medium,False
L3-901,other,adversarial_exploit,human_operator,ai_provider,False,low,False
L3-902,other,adversarial_exploit,ai_provider,ai_provider,False,low,False
L3-903,other,adversarial_exploit,human_operator,ai_provider,False,low,False
L3-904,criminal_justice,adversarial_exploit,ai_provider,ai_provider,False,high,False
L3-905,other,adversarial_exploit,ai_provider,ai_provider,False,low,False
L3-906,other,adversarial_exploit,ai_provider,ai_provider,False,low,False
L9-901,automotive,perception_sensor_failure,human_operator,ai_provider,False,low,False
L9-902,automotive,perception_sensor_failure,ai_provider,ai_provider,False,medium,False
L9-903,aviation,perception_sensor_failure,ai_provider,ai_provider,False,high,False
L11-901,healthcare,sensor_distribution_drift,deployer,ai_provider,False,low,False
L11-902,healthcare,sensor_distribution_drift,ai_provider,ai_provider,False,high,False
L11-903,healthcare,sensor_distribution_drift,data_provider,deployer,False,low,False
L8-901,government,algorithmic_government_action,deployer,deployer,False,high,False
L8-902,government,algorithmic_government_action,deployer,deployer,False,medium,False
L8-903,government,algorithmic_government_action,deployer,deployer,False,high,False
L8-904,government,algorithmic_government_action,deployer,deployer,False,medium,False
L8-905,government,algorithmic_government_action,deployer,deployer,False,high,False
L8-906,government,algorithmic_government_action,deployer,deployer,False,low,False
L9-904,automotive,autonomy_handover,ai_provider,ai_provider,False,high,False
L9-905,automotive,autonomy_handover,ai_provider,ai_provider,False,high,False
L9-906,aviation,autonomy_handover,ai_provider,ai_provider,False,high,False
L9-907,government,autonomy_handover,deployer,deployer,False,high,False
L8-907,criminal_justice,oversight_failure,deployer,deployer,False,medium,False
L8-908,criminal_justice,oversight_failure,deployer,deployer,False,medium,False
L7-901,media,defamation_by_ai,ai_provider,ai_provider,False,medium,False
L7-902,media,defamation_by_ai,ai_provider,ai_provider,False,low,False
L7-903,media,defamation_by_ai,ai_provider,ai_provider,False,low,False
L8-909,criminal_justice,public_sector_equality_duty,deployer,deployer,False,high,False
L8-910,government,public_sector_equality_duty,deployer,deployer,False,medium,False
L8-911,government,public_sector_equality_duty,deployer,deployer,False,low,False
L2-912,criminal_justice,judicial_discretion,deployer,human_operator,False,low,False
L7-904,media,intellectual_property,ai_provider,ai_provider,False,medium,False
L7-905,media,intellectual_property,ai_provider,ai_provider,False,high,False
L7-906,media,intellectual_property,ai_provider,ai_provider,False,low,False
L7-907,other,intellectual_property,ai_provider,ai_provider,False,low,False
L9-201,automotive,perception_failure,deployer,deployer,False,high,True
L9-202,automotive,autonomy_handover,ai_provider,ai_provider,False,medium,True
L9-203,aviation,perception_sensor_failure,ai_provider,ai_provider,False,high,True
L9-204,aviation,autonomy_handover,deployer,deployer,False,medium,True
L9-205,aviation,perception_sensor_failure,human_operator,human_operator,False,medium,True
L4-201,automotive,specification_failure,ai_provider,ai_provider,False,high,True
L4-202,automotive,autonomy_handover,ai_provider,ai_provider,False,medium,True
L4-203,automotive,perception_failure,ai_provider,ai_provider,False,high,True
L4-204,automotive,perception_sensor_failure,external_actor,ai_provider,False,medium,True
L4-205,automotive,perception_failure,ai_provider,ai_provider,False,high,True
L7-201,legal_services,hallucination_fabrication,human_operator,deployer,False,high,True
L7-202,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,True
L7-203,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,True
L7-204,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,True
L7-205,legal_services,hallucination_fabrication,human_operator,human_operator,False,high,True
L5-201,legal_services,deceptive_marketing,deployer,ai_provider,False,low,True
L5-202,consumer_retail,bias_discrimination,deployer,deployer,False,high,True
L5-204,consumer_retail,deceptive_marketing,deployer,ai_provider,False,high,True
L2-201,hr_employment,privacy_consent,deployer,deployer,False,high,True
L2-202,other,privacy_consent,ai_provider,ai_provider,False,high,True
L2-203,financial_services,privacy_consent,deployer,ai_provider,False,high,True
L2-204,other,privacy_consent,ai_provider,ai_provider,False,high,True
L2-205,media,oversight_failure,deployer,deployer,False,low,True
L2-206,media,privacy_consent,ai_provider,deployer,False,high,True
L2-207,consumer_retail,privacy_consent,deployer,deployer,False,high,True
L8-201,government,algorithmic_government_action,deployer,deployer,False,high,True
L8-202,government,algorithmic_government_action,deployer,deployer,False,medium,True
L8-203,government,algorithmic_government_action,deployer,deployer,False,medium,True
L8-204,government,bias_discrimination,deployer,deployer,False,medium,True
L8-205,government,algorithmic_government_action,deployer,deployer,False,low,True
L11-201,government,oversight_failure,ai_provider,ai_provider,False,low,True
L11-202,government,public_sector_equality_duty,deployer,deployer,False,low,True
L3-202,hr_employment,bias_discrimination,ai_provider,ai_provider,False,low,True
L3-203,hr_employment,oversight_failure,deployer,deployer,False,low,True
L3-204,hr_employment,bias_discrimination,ai_provider,ai_provider,False,high,True
L3-205,hr_employment,bias_discrimination,deployer,deployer,False,low,True
L1-251,media,intellectual_property,ai_provider,ai_provider,False,medium,True
L1-253,media,intellectual_property,ai_provider,ai_provider,False,low,True
L1-254,media,intellectual_property,ai_provider,ai_provider,False,medium,True
L1-255,media,intellectual_property,ai_provider,ai_provider,False,medium,True
L6-201,automotive,deceptive_marketing,deployer,deployer,False,high,True
L6-202,media,oversight_failure,deployer,ai_provider,False,high,True
L6-203,consumer_retail,deceptive_marketing,deployer,deployer,False,low,True
L6-204,consumer_retail,deceptive_marketing,deployer,deployer,False,high,True
L6-205,media,deceptive_marketing,ai_provider,ai_provider,False,medium,True
L7-251,media,defamation_by_ai,human_operator,ai_provider,False,high,True
L1-256,media,defamation_by_ai,external_actor,ai_provider,False,medium,True
L8-251,government,algorithmic_government_action,deployer,deployer,False,medium,True
